category_key,category_label_de,category_label_en,question_de,question_en,answer_de,answer_en
allgemein,Allgemein,General,"Wie würdest du deinen Stil beschreiben?","How would you describe your style?","Mein Stil ist dokumentarisch, natürlich und unauffällig. Ich fange echte Momente ein, statt steife Posen zu inszenieren. In der Bearbeitung bekommen die Bilder einen zeitlosen, cineastischen Look mit einem Hauch Editorial.","My style is documentary, natural and unobtrusive. I capture real moments instead of staging stiff poses. In post-processing, the images get a timeless, cinematic look with a touch of editorial."
allgemein,Allgemein,General,"Bietest du sowohl Fotografie als auch Video an?","Do you offer both photography and video?","Ja, du kannst mich für reine Fotografie, reine Videografie oder eine Kombination aus beidem buchen. Der Vorteil: ein Ansprechpartner, ein einheitlicher Stil und perfekt aufeinander abgestimmte Aufnahmen.","Yes, you can book me for photography only, videography only, or a combination of both. The advantage: one point of contact, a consistent style and perfectly coordinated shots."
allgemein,Allgemein,General,"In welchen Regionen bist du tätig?","What regions do you cover?","Mein Schwerpunkt liegt in Tirol, Südtirol und Bayern, also rund um Innsbruck, Achensee, Zillertal, Dolomiten, Chiemsee, Tegernsee und München. Für besondere Anlässe reise ich aber auch gerne europaweit und weltweit an.","My focus is on Tyrol, South Tyrol and Bavaria, around Innsbruck, Lake Achensee, Zillertal, Dolomites, Lake Chiemsee, Tegernsee and Munich. For special occasions, I'm happy to travel across Europe and worldwide."
allgemein,Allgemein,General,"Welche Art von Shootings bietest du an?","What types of shoots do you offer?","Neben Hochzeiten fotografiere und filme ich auch Paarshootings, After-Wedding-Shootings, Elopements, Business-Reportagen, Imagefilme und persönliche Projekte. Sprich mich einfach mit deiner Idee an.","Besides weddings, I also photograph and film couple shoots, after-wedding shoots, elopements, business reportages, image films and personal projects. Just reach out with your idea."
allgemein,Allgemein,General,"Was macht deine Arbeit besonders?","What makes your work special?","Ich mische mich unter die Leute und bleibe unauffällig, sodass natürliche Emotionen entstehen können. Deine Bilder und Filme werden authentisch, zeitlos und mit viel Liebe zum Detail bearbeitet.","I blend in with the crowd and stay unobtrusive, allowing natural emotions to unfold. Your photos and films are edited authentically, timelessly and with great attention to detail."
allgemein,Allgemein,General,"Arbeitest du alleine oder im Team?","Do you work alone or with a team?","In der Regel arbeite ich alleine, was den Tag sehr persönlich und entspannt macht. Für größere Events oder mehrtägige Projekte kann ich auf Wunsch auch eine zweite Person oder spezialisierte Kolleginnen und Kollegen hinzuziehen.","Usually I work alone, which makes the day very personal and relaxed. For larger events or multi-day projects, I can bring in a second person or specialized colleagues upon request."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Wie läuft die Buchung bei dir ab?","How does the booking process work?","Du schickst mir eine Anfrage mit Datum, Location und grober Vorstellung. Danach telefonieren oder zoomen wir unverbindlich. Wenn die Chemie passt, erhältst du ein Angebot und einen Vertrag. Mit Unterschrift und Anzahlung ist der Termin verbindlich reserviert.","You send me an inquiry with your date, location and rough idea. Then we have a no-obligation call or video chat. If the chemistry is right, you'll receive a quote and contract. With your signature and deposit, the date is firmly reserved."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Gibt es ein Kennenlerngespräch?","Is there a get-to-know meeting?","Ja, unbedingt. Wir treffen uns per Video-Call oder bei einem Kaffee in der Nähe von Innsbruck. Dort lernst du mich kennen, kannst alle Fragen stellen und wir schauen, ob wir menschlich zusammenpassen.","Yes, absolutely. We meet via video call or over coffee near Innsbruck. There you get to know me, can ask all your questions and we see if we're a good personal fit."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Wie früh sollte ich dich anfragen?","How far in advance should I inquire?","Je früher, desto besser. Vor allem für beliebte Sommer- und Herbst-Termine buchen viele Paare 9 bis 18 Monate im Voraus. Aber auch kurzfristige Anfragen lohnen sich immer, wenn dein Datum noch frei ist.","The earlier, the better. Especially for popular summer and autumn dates, many couples book 9 to 18 months in advance. But last-minute inquiries are always worthwhile if your date is still available."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Reservierst du mein Datum, während ich noch überlege?","Do you hold my date while I'm still deciding?","Nach unserem Erstgespräch kann ich dein Datum für ein paar Tage unverbindlich vormerken. Erst mit Vertrag und Anzahlung ist der Termin fix gebucht. Bei Parallelanfragen informiere ich dich transparent.","After our initial conversation, I can tentatively hold your date for a few days. Only with a contract and deposit is the date firmly booked. If there are parallel inquiries, I'll let you know transparently."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Was passiert, wenn du an meinem Termin krank wirst?","What happens if you get sick on my date?","Ich habe ein Netzwerk an professionellen Kolleginnen und Kollegen in Tirol, Bayern und darüber hinaus. Sollte ich wider Erwarten ernsthaft ausfallen, organisiere ich gleichwertigen Ersatz. Die bereits vereinbarten Konditionen bleiben für dich dabei bestehen.","I have a network of professional colleagues in Tyrol, Bavaria and beyond. Should I unexpectedly be unable to attend, I'll organize an equivalent replacement. The agreed-upon conditions remain the same for you."
buchung,"Buchung & Kennenlernen","Booking & Getting to Know","Machst du mehrere Termine an einem Tag?","Do you do multiple bookings in one day?","Nein. Pro Tag begleite ich nur ein Event oder Shooting. So kannst du sicher sein, dass meine komplette Aufmerksamkeit dir und deinem Projekt gehört.","No. I only cover one event or shoot per day. This way you can be sure that my complete attention belongs to you and your project."
pakete,"Pakete & Preise","Packages & Pricing","Welche Pakete bietest du an?","What packages do you offer?","Ich biete verschiedene Pakete je nach Dauer, Umfang und Kombination aus Foto und Video an. Von kurzen Standesamts-Begleitungen über ganztägige Reportagen bis hin zu individuellen Projekten. Eine Übersicht findest du auf der Website oder im persönlichen Angebot.","I offer various packages depending on duration, scope and combination of photo and video. From short civil ceremony coverage to full-day reportages to individual projects. You'll find an overview on the website or in a personal quote."
pakete,"Pakete & Preise","Packages & Pricing","Kann man deine Pakete individuell anpassen?","Can your packages be customized?","Ja. Die Pakete sind eine gute Orientierung, können aber flexibel an deine Pläne angepasst werden. Zum Beispiel längere Begleitung, zusätzliche Locations oder spezielle Extras.","Yes. The packages are a good starting point but can be flexibly adapted to your plans. For example, longer coverage, additional locations or special extras."
pakete,"Pakete & Preise","Packages & Pricing","In welcher Preisspanne liegen deine Leistungen?","What is your price range?","Meine Reportagen und Shootings liegen je nach Dauer, Umfang und ob Foto, Video oder beides im Bereich von etwa 2.500 bis 3.500 Euro und darüber. Eine detaillierte Übersicht der Pakete bekommst du im persönlichen Angebot.","My reportages and shoots range from about 2,500 to 3,500 euros and above, depending on duration, scope and whether it's photo, video or both. You'll get a detailed package overview in a personal quote."
pakete,"Pakete & Preise","Packages & Pricing","Wie funktioniert die Bezahlung?","How does payment work?","Mit Vertragsabschluss wird eine Anzahlung fällig, um deinen Termin verbindlich zu reservieren. Der Restbetrag wird in der Regel nach dem Shooting oder Event per Rechnung fällig und kann per Überweisung bezahlt werden.","A deposit is due upon signing the contract to firmly reserve your date. The remaining balance is usually due after the shoot or event via invoice and can be paid by bank transfer."
pakete,"Pakete & Preise","Packages & Pricing","Gibt es eine Anzahlung und wie hoch ist sie?","Is there a deposit and how much is it?","Ja, zur Fixierung deines Datums berechne ich eine Anzahlung, die üblicherweise zwischen 30 und 40 Prozent des Gesamtbetrags liegt. Die genaue Höhe steht transparent im Angebot und im Vertrag.","Yes, to secure your date I charge a deposit that is usually between 30 and 40 percent of the total amount. The exact amount is transparently stated in the quote and contract."
pakete,"Pakete & Preise","Packages & Pricing","Sind im Preis alle Bilder und die Bearbeitung enthalten?","Are all photos and editing included in the price?","In meinen Paketen sind die fotografische oder filmische Begleitung, die sorgfältige Auswahl, professionelle Bearbeitung und die Bereitstellung der finalen Dateien in einer Onlinegalerie enthalten. Eventuelle Zusatzprodukte wie Alben, Prints oder zusätzliche Leistungen buchst du bei Bedarf separat.","My packages include the photographic or film coverage, careful selection, professional editing and delivery of final files in an online gallery. Optional extras like albums, prints or additional services can be booked separately."
pakete,"Pakete & Preise","Packages & Pricing","Fallen zusätzliche Kosten für Anfahrt oder Übernachtung an?","Are there additional costs for travel or accommodation?","Im Umkreis von etwa 100 Kilometern um Innsbruck ist die Anfahrt meist inklusive. Darüber hinaus berechne ich transparente Kilometersätze oder Reise- und Übernachtungskosten. Diese werden vor der Buchung klar mit dir abgestimmt.","Within about 100 kilometers of Innsbruck, travel is usually included. Beyond that, I charge transparent mileage rates or travel and accommodation costs. These are clearly agreed with you before booking."
pakete,"Pakete & Preise","Packages & Pricing","Bietest du Ratenzahlung an?","Do you offer installment payments?","In Absprache sind auch Teilzahlungen möglich, zum Beispiel in zwei bis drei Raten bis zur finalen Lieferung. Sprich mich einfach darauf an, dann finden wir eine faire Lösung.","Installment payments are possible by arrangement, for example in two to three installments until final delivery. Just ask me about it and we'll find a fair solution."
vorbereitung,"Vorbereitung & Ablauf","Preparation & Process","Wie läuft ein Shooting mit dir konkret ab?","How does a shoot with you actually work?","Wir besprechen vorab den Ablauf, die Location und deine Wünsche. Am Tag selbst halte ich mich im Hintergrund und fange die wichtigsten Momente und viele kleine Details ein. Du bekommst einfache, natürliche Anweisungen, damit du dich nie steif oder unsicher fühlst.","We discuss the schedule, location and your wishes in advance. On the day itself, I stay in the background and capture the most important moments and many small details. You get simple, natural directions so you never feel stiff or unsure."
vorbereitung,"Vorbereitung & Ablauf","Preparation & Process","Hilfst du bei der Auswahl der Location?","Do you help with choosing the location?","Ja, gerne. Ich kenne viele Spots in Tirol, Bayern und den Bergen und kann dir je nach Licht, Jahreszeit und Zeitplan passende Orte vorschlagen. Wichtig ist mir, dass du dich dort wohlfühlst und wir genug Ruhe haben.","Yes, gladly. I know many spots in Tyrol, Bavaria and the mountains and can suggest suitable locations depending on light, season and schedule. What's important to me is that you feel comfortable there and we have enough peace."
vorbereitung,"Vorbereitung & Ablauf","Preparation & Process","Wie lange sollte ich für ein Shooting einplanen?","How much time should I plan for a shoot?","Für ein entspanntes Paarshooting oder Portraitshooting plane ich in der Regel 30 bis 45 Minuten ein. Wenn du mehrere Locations möchtest oder wir in die Berge fahren, kann etwas mehr Zeit sinnvoll sein.","For a relaxed couple or portrait shoot, I usually plan 30 to 45 minutes. If you want multiple locations or we're heading to the mountains, a bit more time may be useful."
vorbereitung,"Vorbereitung & Ablauf","Preparation & Process","Was soll ich zum Shooting mitbringen?","What should I bring to the shoot?","Eigentlich nur dich selbst und gute Laune. Wenn du möchtest, kannst du kleine persönliche Dinge einbauen wie Briefe, Erinnerungsstücke oder besondere Accessoires. Wichtiger sind bequeme Schuhe für Wege zwischen Locations.","Really just yourself and a good mood. If you want, you can incorporate small personal items like letters, memorabilia or special accessories. More important are comfortable shoes for walks between locations."
vorbereitung,"Vorbereitung & Ablauf","Preparation & Process","Gibst du Anweisungen beim Fotografieren?","Do you give directions during the shoot?","Ich lasse dir viel Raum, so zu sein, wie du bist, und gebe nur leichte Hilfestellungen für Licht, Haltung oder Bewegung. Du bekommst einfache, natürliche Anweisungen, damit du dich nie steif oder unsicher fühlst.","I give you plenty of space to be yourself and only provide light guidance for lighting, posture or movement. You get simple, natural directions so you never feel stiff or unsure."
vorbereitung,"Vorbereitung & Ablauf","Preparation & Process","Was ist, wenn ich vor der Kamera unsicher bin?","What if I'm nervous in front of the camera?","Das geht fast allen so. Nach wenigen Minuten vergisst du die Kamera meistens. Durch meine ruhige Art, kleine Aufgaben und Bewegung wird das Shooting eher wie ein Spaziergang als eine steife Fotosession.","Almost everyone feels that way. After a few minutes, you usually forget about the camera. Through my calm nature, small tasks and movement, the shoot feels more like a walk than a stiff photo session."
vorbereitung,"Vorbereitung & Ablauf","Preparation & Process","Was passiert bei schlechtem Wetter?","What happens in bad weather?","Regen ist kein Problem, gute Bilder entstehen bei jedem Wetter. Wir suchen überdachte Orte, nutzen vorhandenes Licht oder ziehen das Shooting flexibel etwas vor oder nach. Ich habe immer Ideen für Plan B und C im Kopf.","Rain is no problem, great photos can be taken in any weather. We look for sheltered spots, use available light or flexibly reschedule the shoot slightly. I always have ideas for Plan B and C in mind."
bearbeitung,"Bildbearbeitung & Stil","Editing & Style","Wie bearbeitest du die Fotos?","How do you edit the photos?","Alle ausgewählten Bilder werden von mir sorgfältig farb- und lichtoptimiert und in meinem charakteristischen Look bearbeitet. Hauttöne bleiben natürlich, Kontraste und Farben sind zeitlos und nicht zu extrem.","All selected images are carefully color and light optimized by me and edited in my characteristic look. Skin tones remain natural, contrasts and colors are timeless and not too extreme."
bearbeitung,"Bildbearbeitung & Stil","Editing & Style","Retuschierst du auch Haut oder Details?","Do you also retouch skin or details?","Störende Kleinigkeiten wie kleine Hautunreinheiten, Pickel oder Ablenkungen im Hintergrund retuschiere ich dezent. Größere Beauty-Retuschen übernehme ich auf Wunsch und nach Absprache.","Minor distractions like small blemishes, pimples or background distractions are subtly retouched. Larger beauty retouching is done upon request and by arrangement."
bearbeitung,"Bildbearbeitung & Stil","Editing & Style","Bekomme ich auch unbearbeitete RAW-Dateien?","Can I also get unedited RAW files?","Nein. Die Auswahl und Bearbeitung gehören zu meinem kreativen Prozess und sind ein wichtiger Teil meines Stils. Du erhältst hochauflösende, fertig bearbeitete Dateien, die du privat frei nutzen kannst.","No. The selection and editing are part of my creative process and an important part of my style. You receive high-resolution, fully edited files that you can use freely for personal purposes."
bearbeitung,"Bildbearbeitung & Stil","Editing & Style","Kann ich den Bearbeitungsstil mitbestimmen?","Can I influence the editing style?","Du buchst mich wegen meines Stils, den du in meinen Portfolios siehst. Kleinere Wünsche wie etwas hellere oder etwas kontrastreichere Bearbeitung können wir im Rahmen meines Looks gerne berücksichtigen.","You book me because of my style that you see in my portfolios. Minor preferences like slightly brighter or more contrasty editing can be accommodated within my look."
bearbeitung,"Bildbearbeitung & Stil","Editing & Style","Wie viele Bilder bekomme ich ungefähr?","Approximately how many photos will I receive?","Die Anzahl hängt von Dauer und Ablauf ab. Rechne grob mit 50 bis 80 fertigen Bildern pro gebuchter Stunde. Wichtiger als die reine Zahl ist mir eine runde Story ohne Wiederholungen.","The number depends on duration and schedule. Roughly expect 50 to 80 finished images per booked hour. More important to me than the sheer number is a complete story without repetitions."
lieferung,"Lieferung & Dateien","Delivery & Files","Wie lange dauert es, bis ich die Fotos bekomme?","How long until I receive the photos?","Je nach Saison beträgt die Bearbeitungszeit in der Regel 4 bis 8 Wochen. Eine kleine Preview mit ausgewählten Highlight-Bildern bekommst du oft schon innerhalb weniger Tage nach dem Shooting.","Depending on the season, editing time is usually 4 to 8 weeks. A small preview with selected highlight images is often available within a few days after the shoot."
lieferung,"Lieferung & Dateien","Delivery & Files","Wie erhalte ich die Bilder und Videos?","How do I receive the photos and videos?","Du bekommst eine passwortgeschützte Onlinegalerie, in der du deine Bilder in voller Auflösung herunterladen und mit Familie und Freunden teilen kannst. Videos erhältst du als Download-Link in hoher Qualität und auf Wunsch zusätzlich auf USB-Stick.","You receive a password-protected online gallery where you can download your images in full resolution and share them with family and friends. Videos are delivered as a high-quality download link and optionally on a USB stick."
lieferung,"Lieferung & Dateien","Delivery & Files","Darf ich die Fotos frei privat nutzen und teilen?","Can I freely use and share the photos privately?","Ja, für private Zwecke darfst du deine Bilder frei nutzen: ausdrucken, Fotobücher erstellen und auf Social Media teilen. Bei Veröffentlichungen mit Dienstleister-Tags freue ich mich über eine Nennung meines Namens oder einen Link.","Yes, for private purposes you can freely use your images: print them, create photo books and share on social media. For publications with vendor tags, I appreciate a mention of my name or a link."
lieferung,"Lieferung & Dateien","Delivery & Files","Verwendest du meine Bilder für deine Website oder Social Media?","Do you use my photos for your website or social media?","Ich zeige ausgewählte Projekte gerne auf meiner Website, in Portfolios und auf Social Media. Wenn du das nicht möchtest, sprechen wir das vorab ab und halten es im Vertrag fest.","I like to showcase selected projects on my website, in portfolios and on social media. If you prefer otherwise, we discuss it in advance and note it in the contract."
lieferung,"Lieferung & Dateien","Delivery & Files","Gibt es auch Alben oder Prints bei dir?","Do you also offer albums or prints?","Ja, auf Wunsch gestalte ich hochwertige Fine-Art-Alben und Prints, die perfekt zu deinem Stil passen. Du kannst diese direkt bei der Buchung oder auch nach dem Shooting noch bestellen.","Yes, upon request I design high-quality fine art albums and prints that perfectly match your style. You can order these when booking or even after the shoot."
video,"Video & Film","Video & Film","Welche Arten von Videos bietest du an?","What types of videos do you offer?","Ich produziere emotionale Highlight-Filme, die deine Geschichte in wenigen Minuten erzählen, sowie auf Wunsch längere, dokumentarischere Filme mit Reden und Originalton. Im Gespräch klären wir, welche Variante besser zu dir passt.","I produce emotional highlight films that tell your story in just a few minutes, as well as longer, more documentary-style films with speeches and original audio upon request. We'll discuss which option suits you best."
video,"Video & Film","Video & Film","Wie lang ist ein typischer Film?","How long is a typical film?","Ein Highlight-Film ist meist 5 bis 8 Minuten lang und fasst deinen Tag emotional zusammen. Längere Filme mit mehr Originalton, Reden und Zeremonie können 15 bis 30 Minuten oder mehr dauern, je nach gebuchtem Umfang.","A highlight film is usually 5 to 8 minutes long and emotionally summarizes your day. Longer films with more original audio, speeches and ceremony can be 15 to 30 minutes or more, depending on the booked scope."
video,"Video & Film","Video & Film","Nimmst du auch Originalton wie Gelübde und Reden auf?","Do you also record original audio like vows and speeches?","Ja, wichtiger Originalton wie Gelübde, Ansprachen oder Musik wird mit externen Mikrofonen aufgenommen und in den Film integriert. So hörst du später nicht nur die Bilder, sondern auch die Stimmen und Emotionen.","Yes, important original audio like vows, speeches or music is recorded with external microphones and integrated into the film. This way you'll later not only see the images but also hear the voices and emotions."
video,"Video & Film","Video & Film","Sind Drohnenaufnahmen möglich?","Are drone shots possible?","Wenn Location, Wetter und rechtliche Rahmenbedingungen es zulassen, setze ich gerne Drohnenaufnahmen ein. Vor Ort prüfe ich, ob Flüge erlaubt und sicher sind und halte mich strikt an die gesetzlichen Vorgaben.","When location, weather and legal conditions allow, I'm happy to use drone footage. On site, I check whether flights are permitted and safe, and strictly adhere to legal regulations."
video,"Video & Film","Video & Film","Kann ich Musikwünsche für den Film äußern?","Can I suggest music for the film?","Ja, du kannst mir gerne deinen Musikgeschmack und Lieblingssongs nennen. Aus lizenzrechtlichen Gründen verwende ich jedoch in der Regel lizensierte Musik, die zum Stil deines Films passt.","Yes, feel free to share your music taste and favorite songs. For licensing reasons, I typically use licensed music that matches the style of your film."
storno,"Storno & Vertrag","Cancellation & Contract","Gibt es einen Vertrag?","Is there a contract?","Ja, wir schließen immer einen schriftlichen Vertrag ab. Darin sind Leistungen, Zeiten, Preise, Zahlungsplan, Nutzungsrechte und Stornobedingungen klar geregelt, damit beide Seiten Planungssicherheit haben.","Yes, we always sign a written contract. It clearly outlines services, times, prices, payment plan, usage rights and cancellation terms, giving both sides planning security."
storno,"Storno & Vertrag","Cancellation & Contract","Was passiert, wenn ich meinen Termin verschieben muss?","What happens if I need to reschedule?","Wenn dein neuer Termin noch frei ist, verschieben wir deine Buchung unkompliziert. Bereits geleistete Anzahlungen werden in der Regel auf den neuen Termin übertragen. Details dazu stehen in den Verschiebungsbedingungen im Vertrag.","If your new date is still available, we'll reschedule your booking without hassle. Deposits already paid are typically transferred to the new date. Details are in the rescheduling terms in the contract."
storno,"Storno & Vertrag","Cancellation & Contract","Wie sind deine Stornobedingungen?","What are your cancellation terms?","Die genauen Stornobedingungen hängen vom Zeitpunkt der Absage ab und sind im Vertrag transparent festgehalten. Grundsätzlich gilt: Je kurzfristiger eine Stornierung, desto höher ist der Anteil der vereinbarten Gage, der fällig wird.","The exact cancellation terms depend on the timing of the cancellation and are transparently documented in the contract. Generally: the shorter notice given, the higher the portion of the agreed fee that is due."
storno,"Storno & Vertrag","Cancellation & Contract","Was ist, wenn sich mein Ablauf stark ändert?","What if my schedule changes significantly?","Kleinere Änderungen sind kein Problem. Wenn sich Dauer oder Umfang deutlich verändern, passen wir das Paket und das Honorar fair an. Wichtig ist, dass du mich rechtzeitig informierst, damit ich mich organisatorisch darauf einstellen kann.","Minor changes are no problem. If the duration or scope changes significantly, we'll fairly adjust the package and fee. What matters is that you inform me in time so I can organize accordingly."
storno,"Storno & Vertrag","Cancellation & Contract","Bist du versichert?","Are you insured?","Ich arbeite mit einer Berufshaftpflichtversicherung. Für Schäden an deiner Location oder an Gästen ist in der Regel die Veranstalter- oder Haftpflichtversicherung zuständig. Bei Fragen dazu helfe ich dir gerne weiter.","I carry professional liability insurance. For damage to your venue or guests, the event organizer's or liability insurance is typically responsible. I'm happy to help with any questions about this."
hochzeit,Hochzeit,Wedding,"Wie lange bist du am Hochzeitstag vor Ort?","How long are you on site on the wedding day?","Das hängt von deinem gebuchten Paket ab. In der Regel begleite ich Hochzeiten zwischen 6 und 10 Stunden. Für mehrtägige Feiern oder Destination Weddings sind auch längere Begleitungen möglich.","That depends on your booked package. I typically cover weddings for 6 to 10 hours. For multi-day celebrations or destination weddings, longer coverage is also possible."
hochzeit,Hochzeit,Wedding,"Kannst du uns bei der Planung des Zeitplans helfen?","Can you help us plan the timeline?","Ja, sehr gerne. Ich habe viele Hochzeiten begleitet und weiß, wie viel Zeit realistisch für Trauung, Gratulation, Gruppenfotos und Paarshooting einzuplanen ist. Wir gehen deinen Ablauf im Vorgespräch gemeinsam durch.","Yes, very gladly. I've covered many weddings and know how much time to realistically plan for the ceremony, congratulations, group photos and couple shoot. We'll go through your schedule together in advance."
hochzeit,Hochzeit,Wedding,"Begleitest du auch sehr kleine Hochzeiten oder Elopements?","Do you also cover small weddings or elopements?","Ja, ich liebe intime Trauungen genauso wie große Feiern. Für Elopements in den Bergen oder standesamtliche Trauungen im kleinen Kreis habe ich eigene, kompaktere Pakete.","Yes, I love intimate ceremonies just as much as large celebrations. For mountain elopements or small civil ceremonies, I have dedicated, more compact packages."
hochzeit,Hochzeit,Wedding,"Reist du auch für Destination Weddings an?","Do you also travel for destination weddings?","Ja, ich begleite euch nicht nur in Tirol und Bayern, sondern auch europaweit und weltweit. Ob Berge, See, Stadt oder Ausland, wir klären Anreise, Übernachtung und eventuelle Reisetage einfach im Vorfeld.","Yes, I'll accompany you not only in Tyrol and Bavaria, but also across Europe and worldwide. Whether mountains, lake, city or abroad, we simply clarify travel, accommodation and any travel days in advance."
hochzeit,Hochzeit,Wedding,"Was ist das Spieglein?","What is the Spieglein (photo mirror)?","Das Spieglein ist ein moderner Fotospiegel für eure Hochzeit. Stilvoll, interaktiv und ein echtes Highlight für eure Gäste. Kein Plastik-Kasten, sondern ein Spiegel, der aussieht, als gehöre er zur Deko. Wenn du bei mir eine Fotobegleitung buchst, bekommst du das Spieglein zum Vorzugspreis.","The Spieglein is a modern photo mirror for your wedding. Stylish, interactive and a real highlight for your guests. Not a plastic box, but a mirror that looks like it belongs to the decor. When you book photo coverage with me, you get the Spieglein at a preferential rate."
technik,"Technik & Ausrüstung","Equipment & Technology","Mit welcher Ausrüstung arbeitest du?","What equipment do you use?","Ich arbeite mit professioneller Vollformat-Kamera-Ausrüstung, hochwertigen Festbrennweiten und lichtstarken Objektiven. Für Videos nutze ich 4K-Kameras, externe Mikrofone und Stabilisatoren. Backup-Equipment ist immer dabei.","I work with professional full-frame camera equipment, high-quality prime lenses and fast aperture lenses. For videos, I use 4K cameras, external microphones and stabilizers. Backup equipment is always with me."
technik,"Technik & Ausrüstung","Equipment & Technology","Hast du Backup-Equipment dabei?","Do you bring backup equipment?","Ja, immer. Ich habe eine zweite Kamera, zusätzliche Objektive, Akkus, Speicherkarten und Beleuchtung dabei. So bin ich für jede Situation vorbereitet und du musst dir keine Sorgen machen.","Yes, always. I carry a second camera, additional lenses, batteries, memory cards and lighting. This way I'm prepared for any situation and you don't have to worry."
technik,"Technik & Ausrüstung","Equipment & Technology","Wie sicherst du meine Daten?","How do you back up my data?","Alle Aufnahmen werden sofort auf mehreren Speicherkarten gleichzeitig gespeichert. Nach dem Shooting werden sie auf externe Festplatten und in der Cloud gesichert. Deine Daten sind jederzeit geschützt.","All recordings are immediately saved on multiple memory cards simultaneously. After the shoot, they are backed up to external hard drives and the cloud. Your data is protected at all times."
